URL_ID,URL,POSITIVE SCORE,NEGATIVE SCORE,POLARITY SCORE,AVG SENTENCE LENGTH,PERCENTAGE OF COMPLEX WORDS,FOG INDEX,AVG NUMBER OF WORDS PER SENTENCE,PERSONAL PRONOUNS,AVG WORD LENGTH
blackassign0001,https://insights.blackcoffer.com/rising-it-cities-and-its-impact-on-the-economy-environment-infrastructure-and-city-life-by-the-year-2040-2/,36.0,8.0,0.6363646363636364,19.463414634146343,10.839598997493734,12.121205452656032,19.463414634146343,13.0,4.306390977443609
blackassign0002,https://insights.blackcoffer.com/rising-it-cities-and-their-impact-on-the-economy-environment-infrastructure-and-city-life-in-future/,63.0,31.0,0.3404265319148936,23.10843373493976,19.03023983315954,16.855469427239722,23.10843373493976,8.0,4.929614181438999
blackassign0003,https://insights.blackcoffer.com/internet-demands-evolution-communication-impact-and-2035s-alternative-pathways/,41.0,24.0,0.2615394615384615,23.95,25.052192066805844,19.60087682672234,23.95,15.0,5.469728601252609
blackassign0004,https://insights.blackcoffer.com/rise-of-cybercrime-and-its-effect-in-upcoming-future/,41.0,76.0,-0.29914429914529916,26.962264150943398,23.30300909727082,20.106109299285688,26.962264150943398,7.0,5.289013296011197
blackassign0005,https://insights.blackcoffer.com/ott-platform-and-its-impact-on-the-entertainment-industry-in-future/,23.0,9.0,0.437501,23.428571428571427,17.378048780487802,16.322648083623694,23.428571428571427,8.0,5.026422764227642
blackassign0006,https://insights.blackcoffer.com/the-rise-of-the-ott-platform-and-its-impact-on-the-entertainment-industry-by-2040/,90.0,29.0,0.5126060420168067,25.150537634408604,20.820863616930314,18.38856050053557,25.150537634408604,8.0,5.367678495083369
blackassign0007,https://insights.blackcoffer.com/rise-of-cyber-crime-and-its-effects/,36.0,74.0,-0.3454535454545455,21.44871794871795,17.752540346682604,15.68050331816022,21.44871794871795,3.0,4.899581589958159
blackassign0008,https://insights.blackcoffer.com/rise-of-internet-demand-and-its-impact-on-communications-and-alternatives-by-the-year-2035-2/,34.0,10.0,0.5454555454545454,21.392156862745097,25.022914757103575,18.566028647939472,21.392156862745097,5.0,5.618698441796517
blackassign0009,https://insights.blackcoffer.com/rise-of-cybercrime-and-its-effect-by-the-year-2040-2/,40.0,53.0,-0.13978394623655913,21.370967741935484,24.528301886792452,18.359707851491176,21.370967741935484,5.0,5.437735849056604
blackassign0010,https://insights.blackcoffer.com/rise-of-cybercrime-and-its-effect-by-the-year-2040/,141.0,182.0,-0.12693398452012383,18.05349794238683,19.352632778664237,14.96245228842043,18.05349794238683,15.0,4.898563938910417
